post_id,post_title,post_author,created_at,comment_count,source
GV-53Vkxnfk,Breaking News Jolyan Silvera Pleads GUILTY/Corna Bwoy Kerrin Bailey Caught In St Mary/Man Caught Cam,On The Spot News Media,2026-02-02T18:54:11Z,356,YouTube
2_s6-YQD2GA,Meet the Press Full Episode — Feb. 1,NBC News,2026-02-01T19:14:10Z,558,YouTube
HLaIkFP15ME,Prosecutor drops BAD NEWS for Trump amid legal threat against Trevor Noah,Brian Tyler Cohen,2026-02-02T21:45:53Z,6280,YouTube
D3L7AjNfTKM,ICE Meeting Cold Open - SNL,Saturday Night Live,2026-02-01T06:18:51Z,6510,YouTube
YYlUFhd--ps,Aaj Sone Ka Bhav | Gold Rate Today News | Gold Price Today #necklace #jewellery #goldrate #aajtak,Radha Ji Jewellers,2026-01-30T13:37:01Z,3,YouTube
l6JZMK0UKuc,"US May Strike Iran; Evangelism Explosion if Regime Falls? | CBN NewsWatch - February 2, 2026",CBN News,2026-02-02T15:07:10Z,208,YouTube
LLFcndnAvzs,"Savannah Guthrie&#39;s Mother, Nancy Guthrie, Reported Missing in Arizona",TODAY,2026-02-02T13:04:36Z,1487,YouTube
wixb9akk_FA,GOP congressman accidentally says the truth about Trump&#39;s stolen election claims,MS NOW,2026-01-24T20:42:35Z,3091,YouTube
-8KFHn6NR34,"Today news 🔴 nepali news | aaja ka mukhya samachar, nepali samachar live | Magh 20 gate 2082.",samacharpati,2026-02-02T23:15:00Z,186,YouTube
uCLBEXH3s_U,"Today news🔴live news / nepali news / live nepali news / live samachar / february 8,2026 news",NEWS NEPAL TV,2026-02-08T10:59:09Z,12,YouTube
FCb02Un9TOo,"Epstein files release has references to Trump, other powerful figures",CNN,2026-01-31T16:41:26Z,8832,YouTube
f5NBtLT7cVQ,SILVER: JPMORGAN ACCIDENTALLY LEAKS SILVER PRICE NEXT WEEK!! - SILVER NEWS TODAY,Mr Tung,2026-01-31T15:27:35Z,1286,YouTube
3G34PsQvEH4,Lawrence: The protesters are forcing Trump’s retreat.,MS NOW,2026-01-30T04:42:36Z,2429,YouTube
uJgaxX4RQw0,300K Epstein files released: Who are the celebrities in the photos | Elizabeth Vargas Reports,NewsNation,2025-12-20T00:44:46Z,2160,YouTube
Vn19DgtbBS4,What No One Tells You About Studying International Relations,Symbat ,2025-08-30T14:14:07Z,100,YouTube
RXllDh6rD18,Structural Realism - International Relations (1/7),OpenLearn from The Open University,2014-10-03T09:16:48Z,436,YouTube
NVCDnUZqLzU,International Relations: An Introduction,LSE,2014-10-20T09:58:38Z,845,YouTube
t-Y6_HEb2fg,"International Relations Today, IR 101 Episode 3: Constructivism",International Relations Today,2020-03-09T09:38:05Z,159,YouTube
HQlyWnyVN7I,What is International Relations?,PHILO-notes,2021-09-22T14:08:30Z,55,YouTube
OOksAafYufg,Is Studying International Relations Worth It? (Truth From an IR Graduate),James Clarke-Lister,2023-05-28T16:57:58Z,292,YouTube
l30GQmVPHOI,Sarah C. M. Paine: The Age-Old Contest Between Land and Sea | Foreign Affairs Interview,Foreign Affairs,2025-11-20T14:11:01Z,302,YouTube
FBNzjOk2zJc,What Are the Real Rules of International Relations?,Foreign Affairs,2024-10-24T18:03:45Z,7,YouTube
H7dvZdiKHI0,"International Relations Theory, Explained",Contemplative,2023-09-08T19:00:07Z,4,YouTube
tqIh3N7_xGk,International Relations - Studio C,Studio C,2013-11-05T03:30:01Z,12039,YouTube
vyOiY1KNpu4,"Understanding International Relations: Realism, Liberalism, and Constructivism Explained | GP Exam",GP Prodigy,2024-01-08T16:00:40Z,36,YouTube
hmLTCznJQ2o,A Day in the Life of an International Relations Student | Follow Lia’s Journey ✨ #SussexUniversity,University of Sussex International Study Centre,2025-02-03T20:07:38Z,0,YouTube
G1YejvjGsSc,Is Studying International Relations Worth it If You Want to Work at the UN? (Truth from IR Graduate),Wiola from International Organizations Ready,2025-02-05T16:00:27Z,98,YouTube
y32cFdicW1U,International Relations 101 (#1): Introduction,William Spaniel,2012-06-30T17:39:04Z,120,YouTube
Cht6Prkee-U,Is Studying International Relations Worth It?,Shane Hummus,2021-04-23T19:45:00Z,1205,YouTube
uZrDuN-c_-o,International Relations vs Political Science: Key Differences Explained,Boston University,2025-04-24T14:34:37Z,2,YouTube
_chjc12MSt0,#internationalrelations #study #socialscience,Tobi Oyefeso,2023-10-14T19:00:29Z,6,YouTube
0JSqRe_t29o,Diplomacy and International Relations Masterclass with Sir Tim Hitchens,"Wolfson College, Oxford",2022-05-27T06:24:05Z,0,YouTube
nOibeMzxmos,International Relations,Studio C,2024-01-17T23:47:25Z,703,YouTube
5kAeuMrYTiA,International Relations theory made easy (4): Realism,Patrick Theiner,2021-02-01T00:00:01Z,51,YouTube
oebTDwOAKZE,Top 3 Theories in International Relations Explained,International Relations Explained,2025-05-01T02:38:26Z,2,YouTube
9Xad8J42iPM,Masters in International Relations Admissions: What You Need to Know to Stand Out,Dr. Philippe Barr,2025-04-20T13:00:13Z,13,YouTube
q0Ni43kloZo,What is International Studies? | College Majors | College Degrees | Study Hall,Study Hall ,2025-07-11T18:00:49Z,20,YouTube
xHdqQsPMwZQ,what 6 years of IR studies taught me,RINACOSMIC,2022-10-30T09:55:18Z,172,YouTube
cJRQkwMyup8,Aspects of International Relations: International Political Economy,LSE,2015-11-13T12:35:45Z,98,YouTube
mxr0qg_Fauk,I asked the UK Foreign Secretary about international relations 🇬🇧,Max Klymenko,2025-07-08T22:40:28Z,586,YouTube
BDqvzFY72mg,Lecture 1: Introduction to Power and Politics in Today’s World,YaleCourses,2019-09-17T15:54:50Z,0,YouTube
OuspZM8dpSk,What Is International Relations? | Can You Get A Job?,"Hey, Ms. Traveler!",2023-10-26T15:30:06Z,35,YouTube
p2OyuFQRFRU,Constructivism International Relations: Ideas (Not Tanks) Change Global Politics!,The Political Affairs,2024-06-26T19:20:55Z,15,YouTube
WSTpzOEk0VA,Realism in International Relations explained in 60 seconds,Korczyk's Class,2023-10-11T23:17:25Z,31,YouTube
wQ07tWOzE_c,Securitisation theory - International Relations (3/7),OpenLearn from The Open University,2014-10-03T09:16:48Z,61,YouTube
7LM4HCjwsKQ,Realism International Relations: Why All Superpowers Are Bad!,The Political Affairs,2024-01-15T01:07:30Z,7,YouTube
vG9MqfM-RAU,What You Should Know About International Relations vs Political Science | College Majors,"Hey, Ms. Traveler!",2024-05-28T11:00:47Z,7,YouTube
wAu-mTrex3g,Is International Relations becoming an even more important field?,WebsterVienna,2023-01-18T14:20:44Z,17,YouTube
7D5FNrqT5dM,International Relations – Liberal Theory (2/7),OpenLearn from The Open University,2014-10-03T09:16:48Z,130,YouTube
Sduu8Eu0Dq4,Why I choose to study Politics &amp; International Relations,UCD Future Students,2024-09-13T16:01:40Z,0,YouTube
FOqgh0BoXS0,Master of International Relations,ArtsUnimelb,2016-12-13T00:04:55Z,68,YouTube
K19di-rubcQ,#study #studyinternational #internationalrelations #topreasons #bestjobs #career,Tobi Oyefeso,2023-04-21T16:00:14Z,7,YouTube
L_pLOQ-QukE,Revising International Relations (IR) in 10 Days for UPSC Prelims 2025! | Rapid Revision Round,Sleepy Classes IAS,2025-03-14T09:48:34Z,3,YouTube
w76HjYxmHTU,Theories of International Relations,Dr Adejoh Sunday,2022-08-06T07:29:35Z,59,YouTube
obzqMCu8vGs,Ten Minute History - World War One and International Relations (Short Documentary),History Matters,2018-11-05T15:11:23Z,3544,YouTube
eUcwC8sdOdo,Course in International Relations and Foreign Diplomacy #britishacademy #internationalaffairs,British Academy For Training and Development,2024-11-03T16:59:56Z,6,YouTube
ov6bVgDpVgg,Decoding INDIA&#39;S Foreign Policy 2025 | Priorities and Challenges? | Perspective by Vajiram and Ravi,Vajiram and Ravi Official,2025-01-19T12:30:46Z,48,YouTube
acHYdeTmyH4,International Relations theory made easy (8): Critical Theory,Patrick Theiner,2023-04-08T22:26:19Z,16,YouTube
Xc6PZSJdZck,How to pursue a career in International Relations #shorts,Campus Core,2024-03-27T13:28:00Z,27,YouTube
_XrMew6S6UQ,How to study International Relations ?,Talking Polity,2025-05-20T14:35:52Z,29,YouTube
dwFkrV1sRo8,Want To Work In International Relations? | 11 Super Amazing Career Paths To Explore,"Hey, Ms. Traveler!",2025-01-05T17:04:51Z,1,YouTube
ICVx33p6C6Q,INTERNATIONAL RELATIONS in News for Prelims 2026: Jul-Dec&#39; 25 | Chethan N  | Prelims Crash Course,Unacademy IAS: English,2026-01-22T16:25:24Z,22,YouTube
dXNhsGt9oVI,International Relations made easy (1): How to read theory,Patrick Theiner,2021-01-28T12:10:48Z,28,YouTube
YdHSIugrQgo,History of India Maldives Relations #internationalrelations #currentaffairs #news #shorts,StudyIQ PCS,2024-01-11T23:30:20Z,3,YouTube
evvN0_DGjyM,Melania’s “First Gentleman” Confusion Explained 🤔🇺🇸,Global Politics News.(GPN),2026-02-08T17:11:49Z,0,YouTube
xdSESG42AoM,State of global politics &#39;broken&#39;: Emergency relief organization | Power &amp; Politics,CBC News,2025-12-19T23:57:58Z,0,YouTube
wdor-FkrDOU,Epstein Files LIVE: New Revelations Shake Global Politics &amp; Elites | APT,APT,2026-02-07T19:04:26Z,0,YouTube
jHVDSVipzEk,What Is Global Politics? - International Policy Zone,International Policy Zone,2025-07-05T23:28:09Z,0,YouTube
SV7HWWdxZz8,"China, Gaza, Ukraine - what will dominate global politics in 2026?",Channel 4 News,2025-12-22T17:52:54Z,263,YouTube
i7r7KPIDdw0,European Leaders Reject Trump’s Greenland Push | NATO Tensions Rise | Global Politics | News9,NEWS9 Live,2026-01-07T13:34:38Z,4,YouTube
059XEibWJ0c,"Crazy 24 Hours In Global Politics - Venezuela Attack, North Korea Missile In Japan, Iran Protest",NDTV Profit,2026-01-04T18:28:21Z,4,YouTube
UFKzvyXjk_M,How President Trump is reshaping global politics | Start Here,Al Jazeera English,2025-04-16T13:01:01Z,521,YouTube
PQCPKxb9d0E,The Hidden Hand | Secret Societies and Their Role in Global politics,Criminal World Stories,2025-11-27T05:00:34Z,1,YouTube
k1cKZvzVKHQ,U.S. political revolution a top global risk for 2026: Eurasia Group think-tank | Power &amp; Politics,CBC News,2026-01-08T00:34:16Z,0,YouTube
6PGG5f_aPcE,Will the US try to take Greenland by force? | World Politics | The New Statesman,The New Statesman,2026-01-12T13:15:02Z,684,YouTube
AMM6u32xaQw,Jelly Roll: Survival Mode vs. World Politics Talk.,Game Scoop,2026-02-07T00:01:44Z,17,YouTube
1dqs5NSbu9w,"donald trump nato statement, trump on nato news, us politics viral #viral #trending #todaynews",DMV BUZZ,2026-02-08T09:30:00Z,1,YouTube
a-1cNr7Q-3Q,73.🟢Global Politics Vocabulary in English,Docentes DigitalesTV,2025-02-18T22:00:00Z,0,YouTube
Hl43BizGd5c,Realism vs. Liberalism - Global Politics Theories Compared,Korczyk's Class,2021-02-22T13:00:05Z,220,YouTube
mBOqcb3gVic,Levels of Analysis in Global Politics - Climate Change,Korczyk's Class,2020-04-22T12:42:08Z,5,YouTube
MPyERhTKoRU,Russia proposed swapping Venezuela for Ukraine | World Politics | The New Statesman,The New Statesman,2026-01-06T17:00:40Z,75,YouTube
B1SLEMokt4U,"US Withdraws From 66 Global Organisations, Shaping International Politics | Top Stories | Newsx",NewsX Live,2026-01-08T10:35:17Z,4,YouTube
s1aMwmwvDmQ,What is Global Politics?,Stuart Ratcliffe,2020-07-24T10:58:46Z,17,YouTube
ENGBa0wlwiE,Barack Obama vs Vladimir Putin vs Donald Trump:   #WorldLeaders #GlobalPolitics #PowerAndLeadership,ZH Motivation,2026-01-29T01:30:14Z,0,YouTube
3T6MwJWMcmM,"Global Politics Today: Trump’s War Dept, Putin’s Warning &amp; Xi’s Power Moves in 90s",Global Politics Today,2025-09-05T17:30:02Z,0,YouTube
MEGp0vLOIXQ,Is Donald Trump &quot;blackmailing&quot; Britain over Greenland? | World Politics | The New Statesman,The New Statesman,2026-01-19T17:00:41Z,366,YouTube
IJN8EYZUf1A,Ukraine Shakes Up Global Politics Post-Trump Clash | World News Updates,IndiaDotCom English,2025-03-03T03:28:28Z,0,YouTube
pzj7kYR9_TU,128.🟢Vocabulary for Global Politics Explained,Docentes DigitalesTV,2025-03-04T21:30:06Z,1,YouTube
WzRawjw8Q78,Emigration problems Al over the world #politics #election #emigration ration,World Rhyme up Tv1 Dancehall Videos In Jamaica ,2026-02-07T16:31:47Z,3,YouTube
_5rEZI-wcng,How Has Putin Shaped World Politics in 25 Years? | Vantage with Palki Sharma | N18G,Firstpost,2025-12-05T17:44:06Z,323,YouTube
sDy7Uo_D4fk,🌎Global Politics in 30 Seconds | Animation,Forceman Big World,2025-05-09T19:00:53Z,112,YouTube
Pha-KfHkgVo,"Marxism as a Global Politics Theory: Imperialism, Dependency, and Cultural Hegemony explained",Korczyk's Class,2025-06-02T13:15:02Z,23,YouTube
92Jk3QQAohs,BREAKING: Canada’s PM Mark Carney Speaks in Qatar as Global Politics and Energy Tensions Rise | AC14,DWS News,2026-01-18T13:16:47Z,40,YouTube
Dw_lMf1dxC8,"Global Politics by Andrew Heywood Part 1 (3rd Ed) | Full Audiobook | UPSC, IR, Political Science",The Bureaucrat UPSC,2025-03-09T13:58:28Z,8,YouTube
lbhW36k_xAU,Soft Power vs. Hard Power vs. Smart Power in Global Politics,Korczyk's Class,2021-02-02T22:33:15Z,123,YouTube
NWSe2SoVwZs,Is a New World Order Coming in 2026?,The Rest Is Politics,2025-12-31T17:00:06Z,902,YouTube
9EXlepblptI,#flashback | Trump’s Comeback Could Rewrite Global Politics.,Observer Research Foundation,2025-11-20T13:30:06Z,146,YouTube
NKxqVwO-Qvg,Why Modi’s Malaysia Visit Is a Masterstroke in Southeast Asia Power Politics | Statecraft Ep 290,India Today Global,2026-02-06T16:30:06Z,292,YouTube
U3ms8h5__S8,Baloch Rebels Outgunning Pakistan’s Army While Threatening China And US Deals?,India Today Global,2026-02-05T12:30:06Z,111,YouTube
HLUcWBA_9Ek,Global Politics by Andrew Heywood | Academia - Books,Academia,2022-07-10T13:42:35Z,32,YouTube
WWL3L4TYVtk,Who Are The Main Non-state Actors In Global Politics? - Making Politics Simple,Making Politics Simple,2025-11-05T06:08:33Z,0,YouTube
bmR2ath8vTo,World on Edge: What Just Happened in Global Politics?,TrendWire,2025-05-29T17:00:50Z,0,YouTube
Ln3gp4CLbJA,Visual Global Politics,Roland Bleiker,2020-12-10T00:00:29Z,3,YouTube
uiUPD-z9DTg,The Next Global Superpower Isn&#39;t Who You Think | Ian Bremmer | TED,TED,2023-06-14T16:20:35Z,15685,YouTube
F2CWVXDIykk,What the world needs is a Plan B: Tharman on global politics,The Straits Times,2026-01-21T10:12:45Z,30,YouTube
e89OLaNTOyE,World Politics Explained Simply,Alex Kazam,2022-03-04T02:25:33Z,2478,YouTube
vyOiY1KNpu4,"Understanding International Relations: Realism, Liberalism, and Constructivism Explained | GP Exam",GP Prodigy,2024-01-08T16:00:40Z,36,YouTube
_57Edb7ZDG4,"International Politics: Meaning, Scope, Nature and Limitations",POLITICS TODAY,2025-05-03T18:43:31Z,0,YouTube
-juNPvEi74Y,Macron Warns World Is Sliding Toward Power Politics as Global Rules Collapse |#shorts,India Today Global,2026-01-20T14:13:58Z,50,YouTube
cOqsFVev0ZQ,BRICS: A Rising Power in Global Politics,Universal Group of Institutions,2024-10-23T05:50:17Z,5,YouTube
Hf-xePlM-zg,Global Politics in 30 Seconds,boomsmack,2007-07-18T23:12:31Z,11059,YouTube
czsI8xedRI8,Trump’s $11B Weapons Deal Shocked the World | China’s Taiwan Move Explained,LEX MAN,2026-02-05T20:42:35Z,24,YouTube
OsRuwZ0gYBI,BA Global Politics and International Relations at Birkbeck,"Birkbeck, University of London",2019-09-03T10:27:00Z,0,YouTube
eOSez1lACw0,🔥🗳️ Trump 2026 और Global Politics | दुनिया पर उनका प्रभाव #shorts #shortsfeed #shortsvideo,Vinay Hari Podcast,2026-02-08T13:30:45Z,0,YouTube
WIsZmOVRMHg,"2027: Why INEC Cannot Transmit Results Electronically, Tinubu Policy On Healthcare + More",Channels Television,2026-02-06T19:05:16Z,105,YouTube
CehrwvqETgA,Trump’s calls to nationalize elections creating ‘a problem for Republicans’,NBC News,2026-02-04T22:17:38Z,469,YouTube
lKIJh8qaIWI,Have the Epstein files just brought down the UK government?,Sky News,2026-02-06T08:30:28Z,0,YouTube
VmSzmrxO_Q8,Political storm follows U.S. ambassador decision in Poland | World News Tonight,TVP WORLD,2026-02-06T20:21:54Z,86,YouTube
Ywp5NGZ3UzM,"Rating APC Govt Performance, Has Constituency Project Execution Been A Fraud? | Politics Today",Channels Television,2026-02-04T19:05:20Z,44,YouTube
1sZPc9r-FLs,Electoral Act:What Nigerians Expect From The Legislative Chamber + More | Politics Today,Channels Television,2026-02-05T19:04:08Z,69,YouTube
6aEvjjrrS_E,Donald Trump LIVE | US President Donald Trump Responds To Obama Ape Video Controversy | N18G,CNN-News18,2026-02-08T03:52:31Z,0,YouTube
FQYK1o_Gk18,2027: We Don’t Need A Governor To Mobilise Support For Tinubu In Rivers – Wike,Channels Television,2026-02-07T16:57:01Z,14,YouTube
FAyxmCCytvI,Why Nigeria Isn&#39;t Ready For Electronic Transmission Of Election Results – Ex-INEC Commissioner,Channels Television,2026-02-06T19:55:33Z,352,YouTube
rqY4fU6zWzI,"After vowing co-operation, Poilievre meets with Carney | Power &amp; Politics",CBC News,2026-02-05T00:36:35Z,0,YouTube
6qUCrP7gC-c,"Epstein files explained: Survivors, royals, politics and famous faces",Sky News,2026-02-06T21:30:46Z,0,YouTube
cnNL8GoBnFw,"Can Cricket &amp; Politics be separated, Farokh Engineer weighs in | Sports Today",Sports Today,2026-02-06T17:55:06Z,42,YouTube
UZPhY_hsnK8,Sydney Sweeney REJECTS calls to speak on politics #shorts,Fox News,2026-01-30T20:30:11Z,633,YouTube
G9jCH9Rpb1w,Atkins Stohr and Parker on political fallout from Trump’s call to ‘nationalize’ elections,PBS NewsHour,2026-02-07T00:00:51Z,0,YouTube
s1-bp-sR7UI,"Gambari Speaks On Serving Under Buhari, West African Coups, Political Parties +More |Politics Today",Channels Television,2026-02-02T19:05:19Z,48,YouTube
ZZqXpSOShhs,"LIVE: Gachagua,Matiangi and Troops Storm Nakuru Destroying Ruto!",Mutembei TV,2026-02-08T16:42:14Z,0,YouTube
jcDSbdNtvBo,Maharashtra TOP 9 News | Politics News | 08 February 2026 | Today Top Breaking,TV9 Marathi,2026-02-08T14:23:54Z,0,YouTube
vD0biIcK608,Road to 2027: Analysts unpack political intrigues and shifting dynamics in Kenya(Part 1),KTN News Kenya,2026-02-05T19:38:01Z,4,YouTube
HQsTOhk-658,Melania declares: &#39;Nobody is in charge of me&#39; #shorts,Fox News,2026-01-29T12:08:00Z,1056,YouTube
MR4wBAtd3wg,Can Starmer survive the Mandelson crisis? | Politics Hub with Matt Barbet,Sky News,2026-02-05T20:03:02Z,0,YouTube
xWYVjbVMwuI,নির্বাচন ঘিরে এক কক্ষের প্রতিষ্ঠানে চলছে এলাহি কাণ্ড! | BD Politics | NEWS24,NEWS24,2026-02-07T05:46:00Z,255,YouTube
JMOi5MuwPkQ,Epstein Bombshell: Trump “Spent HOURS” With Victim #trump #news #politics #legaleagle #eagleteam,LegalEagle,2025-12-03T00:00:29Z,1142,YouTube
XDBLgxZSLQg,"Nicki Minaj Appears With Trump, Pledges Her Support",Bloomberg News,2026-01-28T18:00:39Z,587,YouTube
ZPcJ0EZMV6Y,&#39;Republicans should be really worried&#39;: Enten on special elections,CNN,2026-02-02T16:00:38Z,5092,YouTube
dqxfcWEc6qU,5 years ago today 🥲 #politics #anniversary #relatable,SagebrushSun,2026-02-07T03:14:38Z,0,YouTube
Pvlr2YrjxZY,ELECTORAL AMENDMENT: Senate&#39;s Rejection Of E-Transmission Of Results  | POLITICS TODAY,Independent Television and Radio,2026-02-07T13:53:25Z,3,YouTube
P-I0J8N-aqw,‘Very Respected Woman’: Trump Praises Remi Tinubu At Prayer Breakfast,Channels Television,2026-02-05T19:00:07Z,169,YouTube
L-IidR-SRfY,Sharad Pawar News : शरद पवार आज पुन्हा सुनेत्रा पवार यांच्या भेटीला..| Marathi News#shorts,Times Now Marathi,2026-02-05T12:26:52Z,17,YouTube
hISN5PwQ-54,Nicki Minaj Says She&#39;s Trump&#39;s &#39;Number 1 Fan&#39;,Bloomberg News,2026-01-29T14:01:11Z,445,YouTube
3JmPWUrpnS0,Trump LIVE: US On High Alert? Trump Issues Urgent Warning | Trump&#39;s Emergency Announcement LIVE,Times Now,2026-01-14T14:13:59Z,0,YouTube
Epz8Mo70y1Y,| DAY BREAK | Youth and politics [Part 2],Citizen TV Kenya,2026-02-06T05:09:14Z,8,YouTube
vlAvRrglS7A,"Why Senate Approved Electoral &#39;Transmission&#39; Of Results, Not Transfer",Channels Television,2026-02-05T19:33:44Z,288,YouTube
hZiSIHcOqRU,Kenya’s New Protest Is Memory — And the Government Is Losing Control,Maisha TV Kenya🇰🇪,2026-02-06T13:45:38Z,68,YouTube
p6-SVcWbi9A,"Velshi 2/8/26 | 🅼🆂🅽🅱️🅲 Breaking News Today February 8, 2026",ام كريم 31 ,2026-02-08T15:55:15Z,149,YouTube
NKxqVwO-Qvg,Why Modi’s Malaysia Visit Is a Masterstroke in Southeast Asia Power Politics | Statecraft Ep 290,India Today Global,2026-02-06T16:30:06Z,293,YouTube
4VIKqQYJlT4,One-On-One With APC National Chairman,Channels Television,2026-02-03T19:05:02Z,137,YouTube
LuUy5t_dxzw,UDA 2027 Game plan: President Ruto faces challenge as Mt Kenya leaders skip key UDA meeting,KTN News Kenya,2026-02-04T18:36:35Z,27,YouTube
Qmd2H2jkI64,Peter Mandelson: More consequences to come? | Politics at Sam and Anne&#39;s,Sky News,2026-02-02T10:04:20Z,127,YouTube
